x	y	line_id
17.835	139.993	0082-0122
17.749	139.942	0082-0122
17.663	139.890	0082-0122
17.577	139.839	0082-0122
17.492	139.787	0082-0122
17.406	139.736	0082-0122
17.320	139.684	0082-0122
17.234	139.633	0082-0122
17.149	139.581	0082-0122
17.063	139.530	0082-0122
16.977	139.479	0082-0122
16.891	139.427	0082-0122
16.806	139.376	0082-0122
16.720	139.324	0082-0122
16.634	139.273	0082-0122
16.548	139.221	0082-0122
16.463	139.170	0082-0122
16.377	139.118	0082-0122
16.291	139.067	0082-0122
16.205	139.016	0082-0122
16.120	138.964	0082-0122
16.034	138.913	0082-0122
15.948	138.861	0082-0122
15.862	138.810	0082-0122
15.777	138.758	0082-0122
15.691	138.707	0082-0122
15.605	138.655	0082-0122
15.519	138.604	0082-0122
15.434	138.552	0082-0122
15.348	138.501	0082-0122
15.262	138.450	0082-0122
15.176	138.398	0082-0122
15.091	138.347	0082-0122
15.005	138.295	0082-0122
14.919	138.244	0082-0122
14.833	138.192	0082-0122
14.748	138.141	0082-0122
14.662	138.089	0082-0122
14.576	138.038	0082-0122
14.495	137.979	0082-0122
14.418	137.915	0082-0122
14.342	137.851	0082-0122
14.265	137.787	0082-0122
14.188	137.723	0082-0122
14.111	137.659	0082-0122
14.034	137.595	0082-0122
13.958	137.531	0082-0122
13.881	137.467	0082-0122
13.804	137.403	0082-0122
13.727	137.339	0082-0122
13.650	137.275	0082-0122
13.573	137.211	0082-0122
13.497	137.147	0082-0122
13.420	137.083	0082-0122
13.343	137.019	0082-0122
13.266	136.955	0082-0122
13.189	136.891	0082-0122
13.112	136.827	0082-0122
13.036	136.763	0082-0122
12.959	136.699	0082-0122
12.882	136.635	0082-0122
12.805	136.571	0082-0122
12.728	136.507	0082-0122
12.652	136.443	0082-0122
12.575	136.379	0082-0122
12.498	136.315	0082-0122
12.421	136.251	0082-0122
12.344	136.187	0082-0122
12.267	136.123	0082-0122
12.191	136.059	0082-0122
12.114	135.995	0082-0122
12.037	135.931	0082-0122
11.960	135.867	0082-0122
11.883	135.803	0082-0122
11.807	135.739	0082-0122
11.730	135.674	0082-0122
11.653	135.610	0082-0122
11.576	135.546	0082-0122
11.499	135.482	0082-0122
11.422	135.418	0082-0122
11.346	135.354	0082-0122
11.269	135.290	0082-0122
11.192	135.226	0082-0122
11.115	135.162	0082-0122
11.038	135.098	0082-0122
10.961	135.034	0082-0122
10.885	134.970	0082-0122
10.808	134.906	0082-0122
10.731	134.842	0082-0122
10.654	134.778	0082-0122
10.577	134.714	0082-0122
10.501	134.650	0082-0122
10.424	134.586	0082-0122
10.347	134.522	0082-0122
10.270	134.458	0082-0122
10.193	134.394	0082-0122
10.116	134.330	0082-0122
10.040	134.266	0082-0122
9.963	134.202	0082-0122
9.886	134.138	0082-0122
9.809	134.074	0082-0122
9.732	134.010	0082-0122
9.655	133.946	0082-0122
9.579	133.882	0082-0122
9.502	133.818	0082-0122
9.425	133.754	0082-0122
9.348	133.690	0082-0122
9.271	133.626	0082-0122
9.195	133.562	0082-0122
9.118	133.498	0082-0122
9.041	133.434	0082-0122
8.964	133.370	0082-0122
8.887	133.306	0082-0122
8.810	133.242	0082-0122
8.734	133.178	0082-0122
